id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,num_published_practice_tests,created,published_time,discounted_price_amount,price_detail_amount,currency
59583,I.T. Project Management for Beginners: A Step-by-Step Guide,/course/it-project-management-for-beginners-a-step-by-step-guide/,TRUE,3804,4.16279,4.13751,771,32,0,12-06-2013,18-07-2013,455,1280,INR
140140,"The ""Best"" Startup Pitch Deck - How To Raise Venture Capital",/course/the-best-startup-investor-pitch-deck/,TRUE,5302,4.58491,4.5943,771,18,0,31-12-2013,25-02-2014,481,6400,INR
859742,The Complete Ethereum Course: Get .001 Ether In Your Wallet,/course/ethereum/,TRUE,4562,4.75,4.76573,770,49,0,25-05-2016,30-05-2016,455,6400,INR
1684102,Affiliate Marketing Domination: Become A Super Affiliate,/course/affiliate-marketing-domination-become-a-super-affiliate/,TRUE,44751,4.44326,4.42522,770,41,0,09-05-2018,14-05-2018,455,8640,INR
2626524,Exam Prep: CFA® Level 1 Bootcamp 2020 Curriculum (Part 1/2),/course/the-level-1-cfa-bootcamp/,TRUE,5998,4.57831,4.57363,770,373,0,26-10-2019,28-10-2019,455,8640,INR
1350350,Quantitative Finance & Algorithmic Trading in Python,/course/quantitative-finance-algorithmic-trading-in-python/,TRUE,6210,4.25833,4.21159,766,74,0,14-09-2017,17-10-2017,462,8640,INR
123238,"Biotechnology Business, Law, and Science",/course/biotechnology-business-law-and-science/,TRUE,2115,4.35417,4.35953,769,57,0,21-11-2013,20-01-2014,455,1600,INR
228668,Amazon FBA Beginners Course - Start Earning Income Now!,/course/build-an-amazon-business/,TRUE,10761,4.32609,4.32313,764,50,0,25-05-2014,27-05-2014,455,1280,INR
1227150,"Master DAX fundamentals : Power BI, Power Pivot & SSAS",/course/master-dax-fundamentals-power-bi-power-pivot-ssas/,TRUE,3821,4.16935,4.17436,761,47,0,23-05-2017,29-05-2017,455,8640,INR
1309308,Business Writing For Busy People,/course/business-writing-for-busy-people/,TRUE,3353,4.32069,4.37,763,25,0,01-08-2017,21-12-2017,455,3200,INR
833782,Design Thinking + Entrepreneurship: My 8-Step Launch Program,/course/entrepreneurship-the-8-step-business-launch-program-from-eazl/,TRUE,19385,4.46522,4.53642,760,75,0,27-04-2016,03-05-2016,455,8640,INR
284118,VPS for Forex Trading - Protect Your Forex Robots,/course/forex-vps/,TRUE,7887,4.7193,4.71539,760,27,0,20-08-2014,19-09-2014,455,8640,INR
280012,Trello Project Management: Complete Course,/course/effective-project-management-with-trello/,TRUE,3464,4.15217,4.09608,757,23,0,13-08-2014,17-08-2014,720,2880,INR
387400,Sales Fundamentals,/course/sales-fundamentals/,TRUE,9671,4,3.92659,756,11,0,07-01-2015,17-01-2015,455,1280,INR
1352462,Building Your Team - Forming to Performing - A Quick Course,/course/building-your-team/,TRUE,2299,4.38889,4.39341,758,28,0,16-09-2017,25-09-2017,455,1920,INR
2623876,Embracing a Culture of Feedback,/course/embracing-feedback/,TRUE,2119,4.41809,4.44064,754,30,0,24-10-2019,15-11-2019,455,8640,INR
382182,Risk Management for Project Professionals (PMBOK6 Updated),/course/risk-management-for-project-professionals/,TRUE,4928,4.35461,4.209,752,129,0,01-01-2015,11-02-2015,455,8640,INR
918688,How I Make Consistent Returns Trading Options,/course/how-i-make-15-per-month-trading-options/,TRUE,6875,4.2907,4.33272,750,29,0,30-07-2016,05-10-2016,468,8640,INR
1481612,Advanced Upwork Proposals: Tips to 10X Client Responses Fast,/course/upwork-proposals/,TRUE,2934,4.58791,4.66277,751,48,0,25-12-2017,31-01-2018,455,8640,INR
548018,Product and Service Management,/course/4-strategies-for-product-and-service-management/,TRUE,3155,4.22464,4.18138,752,17,0,07-07-2015,19-07-2015,455,8640,INR
